DATE,Caliornia,Texas,New York,Florida,Illinois,USA
2000,75230,62040,65470,62440,74020,67470
2001,74270,64210,66180,57230,72550,66360
2002,73630,62320,65140,59020,66290,65820
2003,74960,59710,65060,59250,68650,65860
2004,73010,61400,66230,60120,68340,65760
2005,74610,59710,68010,61970,69770,66780
2006,77490,60670,67550,63990,68180,67520
2007,76120,62900,66850,62550,71710,68610
2008,75120,61250,66480,59100,70160,66280
2009,74260,62800,66430,60360,69940,65850
2010,70840,61680,64960,57500,66200,64300
2011,67540,62080,64090,57090,64090,63350
2012,70800,64480,59200,57210,64240,63350
2013,74580,63070,61300,59540,66170,65740
2014,73170,65170,65690,55810,66430,64900
2015,77030,68360,70210,59100,73130,68410
2016,79960,69770,73720,61400,73650,70840
2017,82580,70860,72570,62600,77790,72090
2018,81480,69100,77760,63160,81080,73030
2019,88960,76820,81840,66480,84740,78250
2020,87530,77110,77400,65110,83790,76660
