DATE,California,Texas,New York ,Florida,Illinois,USA 
2000,3118.2,4410.4,2545.7,4882.7,3585.4,3618.3
2001,3278,4570,2399.9,4779.2,3471.6,3658.1
2002,3361.2,4620.1,2310.5,4656.4,3420.2,3630.6
2003,3426.4,4599.9,2249,4457.3,3287.9,3591.2
2004,3423.9,4497.7,2192.5,4182.5,3174.1,3514.1
2005,3320.6,4319,2101.9,4012.8,3091.7,3431.5
2006,3181.7,4083.1,2064.5,3986.2,3019.6,3346.6
2007,3043.5,4122.3,1987.9,4088.8,2935.8,3276.4
2008,2941,3986.8,1993.8,4140.5,2932.6,3214.6
2009,2731,4015.3,1932,3840.8,2736.9,3041.3
2010,2629.9,3766.8,1957.8,3551.4,2718.1,2945.9
2011,2584.2,3483.2,1906.7,3517.4,2678.7,2905.4
2012,2761.8,3363.1,1917,3276.2,2585.5,2868
2013,2651.2,3253.2,1820.7,3097.8,2296.6,2733.6
2014,2441.7,3015.4,1717.1,2932.7,2093.2,2574.1
2015,2628.4,2840.8,1606.4,2816.9,2001.4,2500.5
2016,2550,2759,1538.7,2681,2051,2451.6
2017,2505.3,2553.2,1497.6,2512.9,1995.2,2362.9
2018,2386.2,2379.2,1441.6,2287.8,1938.8,2209.8
2019,2335.8,2405.6,1386.1,2144.8,1855.5,2130.6
2020,2138.9,2245,1410.7,1961.4,1559.4,1958.2
