DATE,California,Texas,New York ,Florida,Illinois,USA 
2000,4.925,4.383333333,4.508333333,3.75833333,4.44166667,3.425
2001,5.466666667,4.958333333,4.875,4.425,5.43333333,4.166666667
2002,6.758333333,6.358333333,6.2,4.95833333,6.55,5.191666667
2003,6.891666667,6.733333333,6.4,4.46666667,6.725,5.383333333
2004,6.216666667,6.016666667,5.791666667,3.75,6.175,4.933333333
2005,5.383333333,5.458333333,4.958333333,2.875,5.71666667,4.491666667
2006,4.916666667,5,4.533333333,2.46666667,4.6,4.075
2007,5.308333333,4.366666667,4.433333333,3.3,5.06666667,4.083333333
2008,7.3,4.866666667,5.408333333,5.69166667,6.50833333,5.191666667
2009,11.54166667,7.541666667,8.366666667,9.55833333,10.1833333,8.616666667
2010,12.45833333,8.191666667,8.716666667,10.825,10.4666667,8.975
2011,11.89166667,8.016666667,8.358333333,10,9.75833333,8.341666667
2012,10.525,6.708333333,8.625,8.66666667,9.05,7.45
2013,9.033333333,6.3,7.791666667,7.53333333,9.075,6.766666667
2014,7.566666667,5.191666667,6.291666667,6.43333333,7.16666667,5.65
2015,6.225,4.483333333,5.233333333,5.525,5.99166667,4.841666667
2016,5.516666667,4.65,4.875,4.91666667,5.88333333,4.45
2017,4.833333333,4.341666667,4.633333333,4.3,4.95,3.983333333
2018,4.258333333,3.9,4.1,3.65,4.4,3.566666667
2019,4.1,3.525,3.858333333,3.25,3.96666667,3.333333333
2020,10.19166667,7.725,9.891666667,8.19166667,9.30833333,7.733333333
